Obs,gender,age,romance,scifi,horror,drama,family,action,mystery,comedy,sports
1,M,20,y,n,n,n,n,n,n,n,n
2,M,20,y,n,n,n,n,n,n,n,n
3,M,20,y,n,n,n,n,n,n,n,n
4,M,20,y,n,n,n,n,n,n,n,n
5,M,20,y,n,n,n,n,n,n,n,n
6,M,20,y,n,n,n,n,n,n,n,n
7,M,20,y,n,n,n,n,n,n,n,n
8,M,20,y,n,n,n,n,n,n,n,n
9,M,20,y,n,n,n,n,n,n,n,n
10,M,20,y,n,n,n,n,n,n,n,n
11,M,20,y,n,n,n,n,n,n,n,n
12,M,20,y,n,n,n,n,n,n,n,n
13,M,20,y,n,n,n,n,n,n,n,n
14,M,20,y,n,n,n,n,n,n,n,n
15,M,20,y,n,n,n,n,n,n,n,n
16,M,20,n,y,n,n,n,n,n,n,n
17,M,20,n,n,y,n,n,n,n,n,n
18,M,20,n,n,y,n,n,n,n,n,n
19,M,20,n,n,y,n,n,n,n,n,n
20,M,20,n,n,y,n,n,n,n,n,n
21,M,20,n,n,n,y,n,n,n,n,n
22,M,20,n,n,n,y,n,n,n,n,n
23,M,20,n,n,n,y,n,n,n,n,n
24,M,20,n,n,n,y,n,n,n,n,n
25,M,20,n,n,n,y,n,n,n,n,n
26,M,20,n,n,n,y,n,n,n,n,n
27,M,20,n,n,n,y,n,n,n,n,n
28,M,20,n,n,n,y,n,n,n,n,n
29,M,20,n,n,n,y,n,n,n,n,n
30,M,20,n,n,n,y,n,n,n,n,n
31,M,20,n,n,n,y,n,n,n,n,n
32,M,20,n,n,n,y,n,n,n,n,n
33,M,20,n,n,n,y,n,n,n,n,n
34,M,20,n,n,n,n,y,n,n,n,n
35,M,20,n,n,n,n,n,y,n,n,n
36,M,20,n,n,n,n,n,y,n,n,n
37,M,20,n,n,n,n,n,y,n,n,n
38,M,20,n,n,n,n,n,y,n,n,n
39,M,20,n,n,n,n,n,y,n,n,n
40,M,20,n,n,n,n,n,y,n,n,n
41,M,20,n,n,n,n,n,n,y,n,n
42,M,20,n,n,n,n,n,n,n,y,n
43,M,20,n,n,n,n,n,n,n,y,n
44,M,20,n,n,n,n,n,n,n,n,y
45,M,20,n,n,n,n,n,n,n,n,y
46,M,20,n,n,n,n,n,n,n,n,y
47,M,20,n,n,n,n,n,n,n,n,y
48,M,25,n,n,n,n,n,n,n,n,n
49,M,25,y,n,n,n,n,n,n,n,n
50,M,25,y,n,n,n,n,n,n,n,n
51,M,25,y,n,n,n,n,n,n,n,n
52,M,25,y,n,n,n,n,n,n,n,n
53,M,25,y,n,n,n,n,n,n,n,n
54,M,25,y,n,n,n,n,n,n,n,n
55,M,25,y,n,n,n,n,n,n,n,n
56,M,25,y,n,n,n,n,n,n,n,n
57,M,25,y,n,n,n,n,n,n,n,n
58,M,25,y,n,n,n,n,n,n,n,n
59,M,25,y,n,n,n,n,n,n,n,n
60,M,25,y,n,n,n,n,n,n,n,n
61,M,25,y,n,n,n,n,n,n,n,n
62,M,25,y,n,n,n,n,n,n,n,n
63,M,25,y,n,n,n,n,n,n,n,n
64,M,25,n,n,y,n,n,n,n,n,n
65,M,25,n,n,y,n,n,n,n,n,n
66,M,25,n,n,y,n,n,n,n,n,n
67,M,25,n,n,y,n,n,n,n,n,n
68,M,25,n,n,n,y,n,n,n,n,n
69,M,25,n,n,n,y,n,n,n,n,n
70,M,25,n,n,n,y,n,n,n,n,n
71,M,25,n,n,n,y,n,n,n,n,n
72,M,25,n,n,n,y,n,n,n,n,n
73,M,25,n,n,n,y,n,n,n,n,n
74,M,25,n,n,n,y,n,n,n,n,n
75,M,25,n,n,n,y,n,n,n,n,n
76,M,25,n,n,n,y,n,n,n,n,n
77,M,25,n,n,n,y,n,n,n,n,n
78,M,25,n,n,n,y,n,n,n,n,n
79,M,25,n,n,n,y,n,n,n,n,n
80,M,25,n,n,n,n,y,n,n,n,n
81,M,25,n,n,n,n,n,y,n,n,n
82,M,25,n,n,n,n,n,y,n,n,n
83,M,25,n,n,n,n,n,y,n,n,n
84,M,25,n,n,n,n,n,y,n,n,n
85,M,25,n,n,n,n,n,y,n,n,n
86,M,25,n,n,n,n,n,n,y,n,n
87,M,25,n,n,n,n,n,n,n,y,n
88,M,25,n,n,n,n,n,n,n,y,n
89,M,25,n,n,n,n,n,n,n,n,y
90,M,25,n,n,n,n,n,n,n,n,y
91,M,25,n,n,n,n,n,n,n,n,y
92,M,30,y,n,n,n,n,n,n,n,n
93,M,30,y,n,n,n,n,n,n,n,n
94,M,30,y,n,n,n,n,n,n,n,n
95,M,30,y,n,n,n,n,n,n,n,n
96,M,30,y,n,n,n,n,n,n,n,n
97,M,30,y,n,n,n,n,n,n,n,n
98,M,30,y,n,n,n,n,n,n,n,n
99,M,30,y,n,n,n,n,n,n,n,n
100,M,30,y,n,n,n,n,n,n,n,n
101,M,30,y,n,n,n,n,n,n,n,n
102,M,30,y,n,n,n,n,n,n,n,n
103,M,30,y,n,n,n,n,n,n,n,n
104,M,30,y,n,n,n,n,n,n,n,n
105,M,30,y,n,n,n,n,n,n,n,n
106,M,30,y,n,n,n,n,n,n,n,n
107,M,30,y,n,n,n,n,n,n,n,n
108,M,30,y,n,n,n,n,n,n,n,n
109,M,30,n,n,y,n,n,n,n,n,n
110,M,30,n,n,y,n,n,n,n,n,n
111,M,30,n,n,y,n,n,n,n,n,n
112,M,30,n,n,y,n,n,n,n,n,n
113,M,30,n,n,y,n,n,n,n,n,n
114,M,30,n,n,n,y,n,n,n,n,n
115,M,30,n,n,n,y,n,n,n,n,n
116,M,30,n,n,n,y,n,n,n,n,n
117,M,30,n,n,n,y,n,n,n,n,n
118,M,30,n,n,n,y,n,n,n,n,n
119,M,30,n,n,n,y,n,n,n,n,n
120,M,30,n,n,n,y,n,n,n,n,n
121,M,30,n,n,n,y,n,n,n,n,n
122,M,30,n,n,n,y,n,n,n,n,n
123,M,30,n,n,n,y,n,n,n,n,n
124,M,30,n,n,n,y,n,n,n,n,n
125,M,30,n,n,n,y,n,n,n,n,n
126,M,30,n,n,n,y,n,n,n,n,n
127,M,30,n,n,n,y,n,n,n,n,n
128,M,30,n,n,n,y,n,n,n,n,n
129,M,30,n,n,n,n,y,n,n,n,n
130,M,30,n,n,n,n,n,y,n,n,n
131,M,30,n,n,n,n,n,y,n,n,n
132,M,30,n,n,n,n,n,y,n,n,n
133,M,30,n,n,n,n,n,y,n,n,n
134,M,30,n,n,n,n,n,y,n,n,n
135,M,30,n,n,n,n,n,n,y,n,n
136,M,30,n,n,n,n,n,n,n,y,n
137,M,30,n,n,n,n,n,n,n,y,n
138,M,30,n,n,n,n,n,n,n,n,y
139,M,30,n,n,n,n,n,n,n,n,y
140,M,30,n,n,n,n,n,n,n,n,y
141,M,30,n,n,n,n,n,n,n,n,y
142,M,30,n,n,n,n,n,n,n,n,y
143,M,30,n,n,n,n,n,n,n,n,y
144,M,30,n,n,n,n,n,n,n,n,y
145,M,35,n,n,n,n,n,n,n,n,n
146,M,35,y,n,n,n,n,n,n,n,n
147,M,35,y,n,n,n,n,n,n,n,n
148,M,35,y,n,n,n,n,n,n,n,n
149,M,35,y,n,n,n,n,n,n,n,n
150,M,35,y,n,n,n,n,n,n,n,n
151,M,35,y,n,n,n,n,n,n,n,n
152,M,35,y,n,n,n,n,n,n,n,n
153,M,35,y,n,n,n,n,n,n,n,n
