Brand,Name,Category,Calories,TFat,Protein,Carb,Fiber,Sodium,Weight,FatCal,CarbCal,ProCal,CalSum
A,BBQ Chic,Chicken,388,16,18,42,2,1108,8.5,144,168,72,384
A,Chic Breast,Chicken,498,25,29,42,.,822,8.7,225,168,116,509
A,Deluxe Chic,Chicken,440,18,21,45,3,1411,9.5,162,180,84,426
A,Roast Chic,Chicken,266,4,12,44,4,810,8.5,36,176,48,260
A,Fish Filet,Fish,540,29,22,49,2,816,9.2,261,196,88,545
A,Ham & Cheese,Ham,342,11,18,38,2,477,7.5,99,152,72,323
A,Deluxe Beef,Beef,296,9,16,42,6,1068,8,81,168,64,313
A,Giant Beef,Beef,538,26,26,51,5,1547,9.5,234,204,104,542
A,Baby Beef,Beef,339,16,13,33,0,573,6,144,132,52,328
A,Hamburger,Beef,390,18,14,45,3,436,7,162,180,56,398
A,Beef Sub,Beef,706,38,29,63,4,1746,12.2,342,252,116,710
A,Tuna Sub,Tuna,772,45,33,54,.,1919,11.5,405,216,132,753
A,Deluxe Turkey,Turkey,511,24,19,47,.,1046,9.7,216,188,76,480
A,Deluxe Lite Turkey,Turkey,268,3,22,39,4,998,8.5,27,156,88,271
A,Turkey Sub,Turkey,562,28,35,44,2,1319,11.2,252,176,140,568
B,Chic burger,Chicken,709,44,24,55,2,1513,9.5,396,220,96,712
B,Big Chic Burger,Chicken,557,29,32,41,2,1030,10.2,261,164,128,553
C,BBQ Chic,Chicken,286,5,25,39,3,1118,8.2,45,156,100,301
C,Chic Club,Chicken,555,29,28,46,3,1391,10.2,261,184,112,557
C,Southwestern Chic,Chicken,542,29,27,44,3,1381,9.5,261,176,108,545
C,Big Fish,Fish,565,33,23,45,5,1006,9,297,180,92,569
C,Deluxe Beef,Beef,534,24,33,44,.,1564,10.7,216,176,132,524
C,Turkey Club,Turkey,518,23,30,48,.,1494,10.7,207,192,120,519
D,Grilled Chic,Chicken,297,8,19,35,2,1163,8,72,140,76,288
D,Hamburger,Beef,414,19,16,40,1,879,7.1,171,160,64,395
E,Chic burger,Chicken,383,16,23,37,0,1210,7,144,148,92,384
E,Chic Caesar,Chicken,520,26,31,41,4,1349,9.7,234,164,124,522
E,Cheese Bacon Chic,Chicken,540,27,26,47,0,1183,9.2,243,188,104,535
E,Grilled Chic,Chicken,400,18,14,39,0,975,9,162,156,56,374
E,Ranch Chic,Chicken,483,23,22,47,1,1346,9.5,207,188,88,483
E,Spicy Fried Chic,Chicken,568,32,23,44,0,1185,9.5,288,176,92,556
E,Supreme Chicken,Chicken,634,37,31,47,0,1421,10,333,188,124,645
E,Supreme Fish,Fish,610,36,27,42,0,1150,10.2,324,168,108,600
F,Chicken,Chicken,493,27,19,41,.,785,7.5,243,164,76,483
G,Chic Breast,Chicken,319,8,21,39,3,1421,10,72,156,84,312
G,Sliced Chic,Chicken,322,9,27,34,2,1208,9.7,81,136,108,325
G,Honey Ham,Ham,267,2,28,39,2,961,9,18,156,112,286
G,Tuna on Wheat,Tuna,378,12,25,44,3,1024,9.7,108,176,100,384
G,Jumbo Turkey,Turkey,310,9,26,30,1,1345,9.7,81,120,104,305
G,Turkey Breast,Turkey,283,6,22,38,2,840,9,54,152,88,294
G,Veggie Fever,Veggie,212,0,17,37,2,931,7,0,148,68,216
G,Tofu Veg Delite,Veggie,250,1,21,40,6,1700,.,.,.,.,.
H,Breaded Chic,Chicken,443,21,21,39,2,1095,8.7,189,156,84,429
H,Chic Club,Chicken,506,26,23,45,2,1192,9.2,234,180,92,506
H,Grilled Chic,Chicken,284,6,25,35,2,907,7.7,54,140,100,294
I,Fried Fish,Fish,339,12,21,35,.,905,7,108,140,84,332
I,Fried Platter,Fish,855,46,45,61,.,2043,14.7,414,244,180,838
J,Cheese Pocket,Frozen,300,15,20,21,3,86,6,135,84,80,299
J,Spinach & Cheese Pocket,Frozen,223,5,13,34,2,794,6,45,136,52,233
J,Veggie Pocket Pie,Frozen,225,3,23,33,2,728,6,27,132,92,251
K,Beef and Cheese,Frozen,353,14,17,43,1,386,6,126,172,68,366
K,Ham & Cheese,Frozen,339,16,15,33,4,607,6,144,132,60,336
K,Pepperoni Rollup,Frozen,354,16,22,32,2,435,6,144,128,88,360
K,Club Rollup,Frozen,296,8,20,36,1,959,6,72,144,80,296
L,Lite Bagel,Frozen,203,6,14,26,1,179,4.5,54,104,56,214
L,Lite Chic Broccoli,Frozen,269,8,17,27,1,725,6.5,72,108,68,248
L,Lite Omelet,Frozen,200,2,10,35,2,469,5.2,18,140,40,198
L,Lite Turkey Mustard,Frozen,221,4,18,28,3,782,5.5,36,112,72,220
L,Lite Muffin,Frozen,210,4,9,33,2,65,5.5,36,132,36,204
L,Lite Veggie Egg,Frozen,230,9,8,30,2,629,5,81,120,32,233
L,Lite Chic,Frozen,209,4,16,30,2,231,5.5,36,120,64,220
L,Lite Ham & Cheese,Frozen,260,9,5,40,3,946,5.5,81,160,20,261
L,Lite Ham,Frozen,255,9,16,32,5,369,6.5,81,128,64,273
L,Lite Pizza,Frozen,303,12,14,38,4,714,6.5,108,152,56,316
L,Lite Reuben,Frozen,254,5,18,39,5,569,6.5,45,156,72,273
